"player","eventType","outcome","x","y","endX","endY","isTouch","isProgPass"
"Willian Arão","Pass","Successful",30.6,78.4,35.8,9.5,TRUE,0
"Willian Arão","Pass","Successful",63.2,40,43.3,46.6,TRUE,0
"Willian Arão","Pass","Successful",59.9,70.9,65.7,5.5,TRUE,0
"Willian Arão","Pass","Successful",37.4,67.2,43.7,78.8,TRUE,0
"Willian Arão","Pass","Successful",57,20.1,65.6,5.3,TRUE,0
"Willian Arão","Pass","Successful",10.5,74.2,28.6,74.5,TRUE,0
"Willian Arão","Pass","Successful",61.1,68.2,70,71.5,TRUE,0
"Willian Arão","Pass","Successful",69.4,50.4,72.1,16.5,TRUE,0
"Willian Arão","Pass","Successful",34.7,31.8,48.9,46.3,TRUE,0
"Willian Arão","Pass","Successful",59.8,14.7,62.9,5.5,TRUE,0
"Willian Arão","Pass","Successful",54.7,35.4,39.4,21,TRUE,0
"Willian Arão","Pass","Successful",62.4,21.2,69.9,3.5,TRUE,0
"Willian Arão","Pass","Successful",45,20.4,46.4,3.7,TRUE,0
"Willian Arão","Pass","Successful",43.3,54,51.9,50.9,TRUE,0
"Willian Arão","Pass","Successful",34.5,51.4,46.5,78.7,TRUE,0
"Willian Arão","Pass","Successful",97,59.6,98,48.5,TRUE,1
"Willian Arão","Pass","Successful",28.7,65.1,34.4,81.4,TRUE,0
"Willian Arão","Pass","Successful",63.8,65.1,68.8,74.2,TRUE,0
"Willian Arão","Pass","Successful",28.5,40.6,33.5,82,TRUE,0
"Willian Arão","Pass","Successful",32.6,61.7,40.2,44.8,TRUE,0
"Willian Arão","Pass","Unsuccessful",66.4,23.9,63.5,22.7,TRUE,0
"Willian Arão","Pass","Successful",20.4,50.9,27.7,88.4,TRUE,0
"Willian Arão","Pass","Successful",46.3,40.4,53.6,21.3,TRUE,0
"Willian Arão","Pass","Successful",38.3,45.3,44.4,74.1,TRUE,0
"Willian Arão","Pass","Successful",31.2,62.7,38.5,79.6,TRUE,0
"Willian Arão","Pass","Unsuccessful",45.3,12.9,48.2,12.9,TRUE,0
"Willian Arão","Pass","Unsuccessful",46.2,16.9,54.8,23.6,TRUE,0
"Willian Arão","Pass","Successful",67.6,11.1,73.9,4.7,TRUE,0
"Willian Arão","Pass","Successful",46.8,11.4,37.7,28.7,TRUE,0
"Willian Arão","Pass","Unsuccessful",65.1,24.8,100,27.4,TRUE,1
"Willian Arão","Pass","Successful",67.2,18.3,74.6,18.3,TRUE,0
"Willian Arão","Pass","Successful",62.9,30.5,58.7,65.2,TRUE,0
"Willian Arão","Pass","Successful",54.7,49.7,96.1,5.5,TRUE,1
"Willian Arão","Pass","Successful",19.4,62.4,7.2,56.1,TRUE,0
"Willian Arão","Pass","Successful",72.9,66.6,84.5,63.5,TRUE,1
"Willian Arão","Pass","Successful",66.7,8.2,71.4,12.9,TRUE,0
"Willian Arão","Pass","Successful",63.6,11.3,59.5,38.9,TRUE,0
"Willian Arão","Pass","Successful",64.1,26.1,46.9,45.4,TRUE,0
"Willian Arão","Pass","Successful",60.3,51.1,62,31.2,TRUE,0
"Willian Arão","Pass","Successful",56.5,46.8,48.4,62.7,TRUE,0
"Willian Arão","Pass","Unsuccessful",67.3,67.7,73.3,16,TRUE,0
"Willian Arão","Pass","Successful",74.4,29.1,77.9,26.4,TRUE,0
"Willian Arão","Pass","Successful",32.5,48,34.3,73.8,TRUE,0
"Willian Arão","Pass","Successful",56.7,25.1,57.4,7.3,TRUE,0
"Willian Arão","Pass","Successful",54,51.1,64.3,62,TRUE,0
"Willian Arão","Pass","Successful",64.4,42.8,68.7,49.2,TRUE,0
"Willian Arão","Pass","Successful",76.8,29.4,81.6,17.5,TRUE,0
"Willian Arão","Pass","Unsuccessful",13.2,80.5,29.7,82.2,TRUE,0
"Willian Arão","Pass","Successful",30.3,66.5,36.1,69.8,TRUE,0
"Willian Arão","Pass","Successful",25.4,48,24.8,68.3,TRUE,0
"Willian Arão","Pass","Unsuccessful",27.6,42.2,40.7,36,TRUE,0
"Willian Arão","Pass","Successful",43.9,44.3,56.3,63.3,TRUE,0
"Willian Arão","Pass","Successful",65.6,67.5,53.5,41.6,TRUE,0
"Willian Arão","Pass","Successful",55.8,45,54.1,68.5,TRUE,0
"Willian Arão","Pass","Successful",40.9,40.7,42.1,72.9,TRUE,0
"Willian Arão","Pass","Successful",33.1,7.9,28.8,2.7,TRUE,0
"Willian Arão","Pass","Successful",25.1,48.6,26.5,76.1,TRUE,0
"Willian Arão","Pass","Successful",34.6,55.9,78.9,5.9,TRUE,1
"Willian Arão","Pass","Successful",28.4,51.8,39.7,89.8,TRUE,0
"Willian Arão","Pass","Successful",44.5,59.8,54.4,55.3,TRUE,0
"Willian Arão","Pass","Successful",39.4,50.9,46,52.9,TRUE,0
"Willian Arão","Pass","Successful",39,52.9,38.7,74.6,TRUE,0
"Willian Arão","Pass","Successful",35.2,63.1,33.6,23.2,TRUE,0
